text,true_label
"You and others here are doing your best to convict Donald Trump of sexual assault via hearsay. When the shoe was on Bill Clinton's foot, the left did all they could to protect him and his hideous wife. So yes, you are well schooled in hypocrisy.

Openly boasting about groping women is a far cry from exploiting the power of the presidency to seduce interns, cover up rape and sexual assault. Allowing men with a psychological disorder to act out their fantasies by entering women's restrooms and insisting it's some sort of social justice issue is simply bizarre.

It appears to me that you have plenty of time to do your own research. Maybe you should broaden your search from Thinkprogess and Huffpo.

Sorry you missed the last one but at least you agree then that Hillary belongs in prison.",1
"Clinton says she “kept my cool, aided by a lifetime of dealing with difficult men trying to throw me off.”
The ""Most Difficult Man"", being her husband, the rapist.",1
I guess the Ontario liberals and Alberta ndp share stupid ideas.,1
"Man o man, what has our media become, and who hires these writers, for lack of a better word.

Starting an article with stating such an alarming problem, without any proof or context, just IT IS believe me...and then going on to lecture what should be done...

What happen to just reporting the ACTUALLY, FACTUAL news as it was happening in reality...

Why Hype and make everything so Alarming..?

Can not wait for media to regain a level of professionalism again...

Hire some writers with integrity instead of many fancy degrees from gender studies classes...",0
"The German government, apparently,  puts the number of German citizens killed in the terrible disruption after WWII at 2 to 2.5 million. Other estimates are lower . . . as much as 2/3's lower. Is it really your contention that they were all massacred by Jews? 

Did they teach you this pestiferous crap at Stanford? You should ask for your money back. !",1
And i moved here 46 years ago to get away from feminazis.,1
I'd feel the same if I had Stalin's autograph; and his death count seriously approached that of Hitler!,0
"ICE chief's statement says its annual budget will be $7.9 billion, including ""$4.9 billion to expand detention capacity."" Do we really want to pay that much money to detain people, most of them productive members of society who start businesses, pick our crops, mow our lawns, etc.? What happened to small government?",0
"You are free to believe what you like. However there is a burden of rationality inherent in conversation particularly public ones. Advancing arguments of a god should require that you engage with the following:

1. Posit a set of axioms that exclude sought proof.
2. Define god. 
3. Define existence. 
4. Show objective evidence that a god meets that criteria.
5. Show that the result is significant! 

IMO.  Morality, just like god is likely a construct. It is an very important one, but a construct none the less. Arguments that rely on the most good, or the absoluteness of good are flawed. Humans certainly do not seem to be divine or special in any sense. It seems likely that we are simply cleverer animals. The initial formation of the universe is outside the boundaries of concrete knowledge. However the formation of the universe while including randomness, is not random.",0
"Hypocrisy!.
Ditto for Morneau and his many financial tentacles.
Hypocrites!",1
Exactly.  I was just reading a story about how Ed Norton made a fraction of what Brad Pitt did in Fight club.  Equal parts.  Equal face time doesn't warrant equal pay.  Their greed about what OTHERS were making will now undermine their whole bottom line.  Smart.,0
"Merkel smart and progressive. Trump not in the least bit smart and utterly regressive. The US will be the unconditional loser as the world turns away, in everything from trade and tourism to science and collaboration. What an utter and avoidable waste. aMErica.",1
"Political motivations, and parties aside. I would love to know peoples actual thoughts on this. Good. Bad? Could we actually get bipartisan support or is it a pipe dream. 

Additionally, the idea of a high speed transit in the windsor to toronto, and maybe in the future toronto to montreal corridors (which is like half of Canada's population) is one that may be interesting. There isn't much debate that infrastructure like this can massively foster growth along the route, but there is also the price factor. People don't like it in their backyard. 

Also, since this will be costly regardless, I would be curious price comparisons between HSR and Maglev. Mostly because the latter is more expensive but will require reduced maintenance costs whilst also having the advantage of being far quieter, likely reducing ""NIMBY"" BS. Not to mention it would be a great selling point of ""hey, look at our futuresque shit that travels at speeds that rival planes"".",1
"The Texans seem to have grit which is certainly lacking these days among those who would prefer to see them all suffering. The fact that the Federal folks were well organized and working well with the state and local folks must be driving those of you who want this to be more of a disaster so you can pin it on Trump. People should be marveling as I am at how all those folks are reaching out to help one another no matter skin color, flags, or political bent.
I can't get over the people who want to see this turn into a worse disaster then it is just so they can crow about Texas getting what it deserved or how Tump failed. So far, people are co no together and helping each other.",0
An altar server is not an acolyte.  That's been a misuse or collapse of categories for some time.,0
"His whole family were lying killers. He is a lying killer with no moral compass.  His lawyer coached this garbage. You are an idiot to believe this ""thing""  should be  allowed in Canada.  He is no child!!!",1
"rangerMC,  you dont even make sense anymore. when will you thumpers realize that lgbtq's,  blacks, muslims, mexicans, asians, the poor, the homeless, aliens, extraterrestrial and earth bound, all have the same, inalienable rights as you, white, christian males do (in a just world of course), the right of personal choice. no one says a straight guy cant marry a straight woman. we just dont care because it is none of our business. its not about your beliefs or your ideology, its about equality and a persons right to choose. your comment on transgenders in elementary school bathrooms is just too stupid to deserve an answer.",1
"Are you really naive enough to believe that no charges equals no corruption? But I could settle for ""lying"" and ""self-serving"".",0
""" We also have to come up with punishment that's far quicker ""

We have to make sure he is guilty first. Where are Trumps minders to stop him making a pillock of himself?",1
In the unlikely  event Nafta collapses will Canada sign a free trade deal with Mexico with its low cost labor?,0
I agree.  It's ludicrous when anyone who claims to be concerned with religious freedom in the US does not protest when religion is proposed to be used as a ground of inadmissibility into the US.,1
Your right ...the crazy Mormons in Utah get into a lot of cover up stuff just because of their insane beliefs.,1
More bullying from Putrumpski. What a clown.,1
"That's great. You know he's just aching to have a few of those! Sieg heil, Kim Jong Drumpf.",0
i am!!,0
What world do you live in in which any of us support Anthony Weiner? He's disgusting.,1
"You did not, or can not, read my comment.  So how about having a literate friend read it to you?

Despite what Sean Hannity said, the investigation staff is still being hired, so it's idiotic to already expect results.

None of the investigations underway have released any kind of report.  Nothing.  So you might consider rethinking your confidence that nothing will be found.",0
"So, they're saying that non-white people are the same, and just any old""PoC"" will do? ""Your beliefs, experiences and opinions don't matter, we just need to tick off your colour on our rainbow chart. Oh, would you mind posing for a photo?"" I would have thought institutions of learning would prize diversity of thought over anything else (""black people all think the same, just make sure we've got a couple to show off"")

...and do they realize they're all chasing the same very small pool of candidates? Look, I know they don't mean East Asians when they say diversity (they're honorary white people because they're successful despite all this white supremacy), so that leaves about 10 % of the total population of Canadians. And that's just raw numbers, not filtering for age, accreditation, geography, etc. Black Canadians are about 3% of the total population. It's simple math, all of our universities will not be able to be as diverse as they want to be.",0
"""Racist!""  ""Misogynist!"" ""Xenophobe!""  ""Homophobe!"" ""Colonialist!""  ""Neo-con!"" ""Check your privilege!"" ""Black lives matter!""

Yeah, lucky for us only the alt-right sinks to name-calling and yelling to shut down any civil exchange of ideas...",1
My veracity was not only proven but upheld by SCOTUS.   Yours on the other hand is in tatters and you’re stopping to ad hominem attacks.,0
So if my investments decline is Morneau going to let me deduct the loss against my employment income?   Why take any risk if Morneau wants to extort the profits?,0
"If the media had had its way, Donald Trump wouldn't have been invited to a single deabate....until they discovered the difference in their ratings when he was there and when he wasn't.  OLive is just trying to game the system; nothing to see here, just move along.  Business as usual.  We know best which candidates ""clearly stand out from the crowd"".",0
"Trump, always the equal opportunity offender.",1
I know first hand what this man has done .He made it impossible for me to get clean and try and become a asset to the community I had cared about so much.He did not care one bit that i was productive for 11 years as asst produce manger. at sarrs market place.That when it closed my life went upside down.HE only cared about my sickness. I have bin in a long term treatment center out of town to try and get some kind of life back but my heart will always belong to Port Angles.Its not all his fault but I feel he has don more harm than good.And Karma always comes around.,0
"Man, homophobia is back, Don't worry GBA, I am sure you are safe in your closet fortress, you should come out of that closet once and a while.",1
"Any proof for these comments.  Trudeau has given no indication that anything you say in your comment has validity.  Name one incident.  Anything at all.  No, huh.",0
This sounds like the same garbage we heard from the pro-tobacco lobbyists in the 60's.,1
"No he isn't a Status Indian. And your comment about ""dodging"" taxes is ignorant. Do you understand anything about Treaty Rights?",1
"""If you think sports followers are intelligensia then you are wrong"". 

Hmmm, interesting comment considering you repeatedly post here.",0
"Surely the Queen of radical, alt-Left, anti-American, socialist, Progressive Democrat hubris either breathes only through her far Left nostril; or else, delusionally self-identifies having two far Left nostrils.",0
Bingo:  Everything is always about growth int he population.  If we curtailed immigration we'd have approximately ZERO population growth.  What a boon for quality of life and the environment!,0
Here is something else you can do: Get the Gov to stop politicizing the investment process of the fund...as in giving it to novice investors with political connections and/or companies that hire former employees of the perm fund. This will prob be taken down soon cause the owner of this failing rag has her hand in this too.,0
I was asked by a Canada Custom Officer to remove my sun glasses presumably because he want to clearly see my face as compared to my passport photo. Is this not his duty ?,0
The debate is over. 97% of geneticists agree that sex is determined by chromosomes.,0
"It would appear that today we have democrats on one side of the aisle in congress, and democrats on the other side of the aisle in congress.",0
"Ah - but Ancient Rome was no different - the elites, senators and emperors fed their opposition to the lions in order to entertain the plebes. Remember ? Bread and Circuses, the Coliseum ... nothing has changed !",0
"I request the following on behalf of the City of Homer residents:

1) An immediate campaign to proclaim Homer an American City open for business and tourism with a respect for law and order is required to overcome this obstacle.

2) The Bible says to cast out the contentious person and the strife will cease. The sponsor(s) be removed from the city council and sued to repay for the labor and time and defamation of character to the image and mission of the City of Homer. It will rid the council of these individuals determined to destroy our economy by reckless endangerment and hold them accountable for their actions.
Excerpts from the Letter to the Editor by Patrick Brown ( can be read online)  
I have lived in Homer since 1991. This is what is driving this ""machine"" for ""recall"" because the bible tells them so.
The City Council members get to volunteer to administer to the city needs . They are NOT ""career"" politicians and are happy they serve the community. They are nice folks is all.",0
"Well, DIA for one has 6 runways, all of which can handle a 747. Keep in mind that LAX (e.g.) only has 4 runways total if you need perspective. Also, no runway at DIA intersects another runway. This can't be said for such airports as San Francisco and Chicago O'Hare to name a few. Did I mention that DIA is the most modern airport in the United States? I think we have it covered here Harpro, thanks bro.",0
"All a person has left is his/her integrity, honour and reputation. Look at it like this: if you were accused in the work place, etc of a charge you knew, despite all said and done, wrong, baseless and unfair, would you plead guilty and resign because of the public's 'perception'? Anyone who says they would is a liar. To do so is to confirm that perception - perception quickly becomes 'truth' - and that's how history will remember you. Even Brian Molefe is trying to influence that.

Zille is defending this - so far it's early days and according to procedure until Maimane jumped the gun (how could he not know the constitution?) - because she's hard-headed and wants to be right, yes, but I suspect more so because her integrity demands it. Unless and until you've been in a position where your reputation and integrity was questioned, and you'd do what you must to protect it, I suggest you and others reconsider what that 'honourable thing' is. Anything else is just talk and second-guessing.",0
"What will happen? Trump's 95% (ers) will love him more since FOX News and Trump's tweets are their sole sources of current events. FOX News echoes Trump's falsehoods that Puerto Rico has received soooo much help from Washington that they have to send stuff back and that FEMA has people in every nook and cranny of the island. The legitimate media exposes the reality; most of the population outside San Juan is desperate for the basics of food and water and hasn't received any aid from Washington. 

Trump is one of those people with a horseshoe embedded in a part of his anatomy. We've all known people like him. No matter how many lies they throw out there, no matter how thick the BS from their mouths, no matter how low they go, lady luck steps in at the last minute and makes them look good. At least I can be sure of one thing. Trump will spend eternity in purgatory and that warms my heart.",0
"stop making excuse for your infantile and stupid behavior.  there are ways to express your displeasure but showing your finger is not one of these ways.  you have disrespected the process and brought shame to the Hawaii delegation and people.   you owe the people of Hawaii an apology and to the DNC.  If you refuse to apologize then you should resign your position with the Hawaii democratic party.  there is no bravery involved just plain stupidity.   you are stooping low like trump is doing in his immature behavior when people disagree with him.   maybe you should join the repubs, you should feel at home with them.  dems do not tolerate stupidity.   no fd, she does not love Hawaii, she lovers herself, if she did she would not have done what she did to bring shame to us.",1
"""I'd rather have ""an idiot"" there with a gun""

Then move. I suggest Somalia - no gov't, lots of guns, religious nuts run everything. You'd be happy. (And less likely to blow my head off with your gunplay!)",1
"Kumbya is greek, use a Kappa. Cumbya is a term used at those Vatican gay orgies. Regardless, I am not arguing for a kumbya moment. Quite a few priests need to be be outed, not as gay, but as asexuals, and counseled on what their sexuality entails and how it has preverted Catholic sexual teaching. They need to feel as uncomforatable with that as they have made the rest of us feel for normal heterosexuality.",1
Natural law must include rational inquiry and science or else it is mental masturbation.,1
"No where near as tiring as listening to Hillary sore losers.  She lost.  Let me say it again so it sinks in. HILLARY LOST!

Now put on your big girl panties and get through the next 4 years.",1
"How did insulting two women as bitches with twisted phonetics get past the ""civil"" filter?  And to compound such low class behavior you like your own comment like RA used to?  So much ""winning!""",1
"Polls are the opium that the 1% use to stupefy the rest of us. They use them to try and influence election outcomes and public opinion, rather than measuring them. We have just seen ample proof. Nice that G&M is trying to do the same. Clinton is a crook, the American people chose the clown instead. Frankly, faced with that difficult choice, I would have done the same thing. Nobody polled me.",1
"Hey, fake Frank. More trolling? Yep. Loser.",1
"Why?  Make it legal just like pot.  If people OD on it, well that's their own fault for doing something so stupid.",1
"Al, your entire lying Trump Russia Collusion hoax is coming to an end after 11 months of dry holes.  Finally the corruption of government by the dirty corrupt Obama-Clinton Cartel will be exposed.  You guys will be be proven wrong again.  When will you guys learn not to get into bed with the Clintons?  You should feel used, dirty and cheap.  Don’t forget to see a nurse for the proper shots before rejoining the rest of us.",1
