text,true_label
"You and others here are doing your best to convict Donald Trump of sexual assault via hearsay. When the shoe was on Bill Clinton's foot, the left did all they could to protect him and his hideous wife. So yes, you are well schooled in hypocrisy.

Openly boasting about groping women is a far cry from exploiting the power of the presidency to seduce interns, cover up rape and sexual assault. Allowing men with a psychological disorder to act out their fantasies by entering women's restrooms and insisting it's some sort of social justice issue is simply bizarre.

It appears to me that you have plenty of time to do your own research. Maybe you should broaden your search from Thinkprogess and Huffpo.
",1
"Clinton says she “kept my cool, aided by a lifetime of dealing with difficult men trying to throw me off.”
The ""Most Difficult Man"", being her husband, the rapist.",1
I guess the Ontario liberals and Alberta ndp share stupid ideas.,1
"Man o man, what has our media become, and who hires these writers, for lack of a better word.

Starting an article with stating such an alarming problem, without any proof or context, just IT IS believe me...and then going on to lecture what should be done...

What happen to just reporting the ACTUALLY, FACTUAL news as it was happening in reality...

Why Hype and make everything so Alarming..?

Can not wait for media to regain a level of professionalism again...

Hire some writers with integrity instead of many fancy degrees from gender studies classes...",0
I'd feel the same if I had Stalin's autograph; and his death count seriously approached that of Hitler!,0
"ICE chief's statement says its annual budget will be $7.9 billion, including ""$4.9 billion to expand detention capacity."" Do we really want to pay that much money to detain people, most of them productive members of society who start businesses, pick our crops, mow our lawns, etc.? What happened to small government?",0
You are absolutely worthless and should disappear,1
"I hate you so much, you make me sick",1
"Go kill yourself, nobody wants you here",1
You're the dumbest person I've ever met,1
I hope you suffer for the rest of your life,1
You're a complete waste of space and oxygen,1
Everyone would be better off without you,1
You're disgusting and pathetic,1
I wish you would just shut up forever,1
You're nothing but a loser and failure,1
"Hello everyone, how are you doing today?",0
Thanks for the help with the project,0
Great weather we're having this week,0
Looking forward to the meeting tomorrow,0
Have a wonderful and productive day,0
The presentation was really informative,0
I appreciate your hard work on this,0
Let's collaborate on the next phase,0
The results look very promising,0
Thank you for your patience and understanding,0
"Are you really naive enough to believe that no charges equals no corruption? But I could settle for ""lying"" and ""self-serving"".",0
I agree.  It's ludicrous when anyone who claims to be concerned with religious freedom in the US does not protest when religion is proposed to be used as a ground of inadmissibility into the US.,1
This sounds like the same garbage we heard from the pro-tobacco lobbyists in the 60's.,1
"Surely the Queen of radical, alt-Left, anti-American, socialist, Progressive Democrat hubris either breathes only through her far Left nostril; or else, delusionally self-identifies having two far Left nostrils.",0
"Hello everyone, how are you doing today?",0
Thanks for the help with the project,0
Great weather we're having this week,0
Looking forward to the meeting tomorrow,0
Have a wonderful and productive day,0
The presentation was really informative,0
I appreciate your hard work on this,0
Let's collaborate on the next phase,0
The results look very promising,0
Thank you for your patience and understanding,0
You're such a worthless person.,1
Nobody likes you here.,1
Just kill yourself already.,1
you are mad,1
I hope you get hit by a car.,1
Everyone hates you at school.,1
Go back to where you came from!,1
You're disgusting and fat.,1
I will make your life miserable.,1
People like you should disappear.,1
